,0
0,987221.8474816106
1,995973.8684055994
2,993161.6379671022
3,991524.9811000838
4,995805.3809421486
5,999268.831748112
6,1001384.3679892359
7,1002664.9665502321
8,1001900.8707183
9,991125.7986828204
10,990611.4937328483
11,994637.0969078523
12,978096.4051857555
13,967847.7659324214
14,971466.479182261
15,989640.0130112066
16,989928.4924418293
17,994291.5431779907
18,995457.4172960423
19,991598.5410186826
20,983687.06303409
21,993712.3969806595
22,1001319.0098892242
23,998902.3276217572
24,998662.9350564879
25,998490.1459411784
26,997094.1211000151
27,971944.2108748435
28,972202.6680002107
29,974881.8294505101
30,962336.792988139
31,956207.9741789362
32,954294.5671696964
33,933757.5214166833
34,922674.8296539686
35,945111.9123177874
36,950126.6607687966
37,953318.4335232233
38,942663.6084505578
39,939237.0453690246
40,942982.2966919456
41,962304.9483099121
42,961413.6822585498
43,960441.3526007604
44,958347.2445277764
45,966433.113541441
46,961743.8217847237
47,957398.4231387111
48,934504.7174110666
49,940019.9230317005
50,930137.183645812
51,911708.3805296358
52,906216.2211176513
53,901414.5561124602
54,908065.5673838299
55,905787.0944596045
56,906236.5814842314
57,886515.3527945097
58,885318.819004875
59,895366.4520105781
60,869667.3533556256
61,882556.1298494235
62,903491.7217525892
