,0
0,954974.5745407837
1,940779.7944580996
2,937956.4089608787
3,927771.5621498055
4,924841.8271556066
5,923615.4314560794
6,927989.8947579422
7,935921.807795756
8,935451.6138218165
9,939348.7466002319
10,939445.332458074
11,943778.2841845306
12,945936.3437365262
13,944470.987703968
14,936253.6767581948
15,936216.6582668702
16,937384.5925079648
17,935736.7964139729
18,942050.7994662451
19,942548.1918457217
20,939894.824798467
21,941313.7857164425
22,944052.2884300353
23,945538.451950943
24,949928.0059166454
25,957850.6874040436
26,957062.2933578133
27,957155.0035674287
28,954662.5075789845
29,950537.6164194852
30,951784.0829786817
31,947720.6027696112
32,941330.6705039088
33,945020.0163917837
34,945965.9417388173
35,947697.7097367203
36,955463.2538992318
37,960892.1429261864
38,958105.5053024124
39,954414.4293420268
40,956878.9211714373
41,949138.6254299572
42,948784.7197809909
43,947618.8070707949
44,945880.2183011515
45,945824.0334583672
46,946847.9893397413
47,948982.9080560534
48,954567.0457691868
49,960340.5297989544
50,960253.5971532379
51,961537.6616582975
52,959125.4648436678
53,965540.4341275493
54,968769.9835462777
55,972392.6069460538
56,987142.738332727
57,984636.352877746
58,984072.4036520018
59,992128.0721209078
60,998228.9229745707
61,993545.0378335812
62,986357.5960752084
