,0
0,1026215.2060647015
1,1024305.8576732293
2,1019308.644426158
3,1003695.7310475927
4,1010118.5525628206
5,1010706.9481471682
6,1025051.9056792004
7,1030477.9976988509
8,1026338.2276988509
9,1021945.7589645203
10,1029018.7470701423
11,1033028.8516539582
12,1037593.048973497
13,1044058.5581380193
14,1052847.6138519426
15,1051793.7138799871
16,1051794.548879987
17,1051794.6588799872
18,1051794.528879987
19,1051795.9488799872
20,1058461.0447410068
21,1069372.0080033257
22,1074938.0747541566
23,1073862.5174945004
24,1067393.2938737115
25,1066324.6847489378
26,1066324.2397489378
27,1066324.3497489379
28,1066324.4747489379
29,1066323.9147489378
30,1059507.5864815156
31,1060191.262628974
32,1072206.4352307841
33,1056684.938019703
34,1068748.3484480768
35,1057966.4519995295
36,1053642.3543087963
37,1054749.9924948465
38,1074700.051042575
39,1065298.807612113
40,1067470.3478861698
41,1062728.0036880001
42,1062729.4244513726
43,1062709.5927306917
44,1076305.1528205124
45,1070452.8176084766
46,1080615.7303395807
47,1099797.8912651034
48,1097673.3945640165
49,1087210.5361438887
50,1087984.272536662
51,1067580.6657900934
52,1039462.7136105736
53,1057331.385076796
54,1063001.7919803432
55,1056410.3289919537
56,1042668.5292483645
57,1049382.33028953
58,1070195.336818628
59,1049731.0428859752
60,1018621.7341138946
61,1020102.5816359601
62,1020078.843821196
