,0
0,-71951.95425542514
1,-1044.918055125163
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,-18406.6985382
26,20441.96326254902
27,-12861.431351391482
28,3750.9022024725564
29,27112.289869051077
30,3430.169927599374
31,-38670.71341108612
32,15745.52796734334
33,-1044.4150453554466
34,2034.4189212202327
35,18534.66122591961
36,15140.144591902848
37,23468.25094743655
38,972.8190075855237
39,-2728.9539790877607
40,-16616.522154136095
41,3909.852745409822
42,-6744.594177632127
43,12975.750310150906
44,7276.48125263839
45,11282.792962773237
46,-12308.65204038634
47,3020.38472751854
48,-16110.014759511221
49,-516.9740021761972
50,12754.851641477086
51,5543.108047726098
52,-2972.7253842856735
53,-14356.067958622472
54,11055.188768233871
55,6542.916083730524
56,12019.25361585524
57,-10156.769445467042
58,12637.487683267565
59,2004.8697493777145
60,15122.493743731175
61,-20156.760622663423
