,0
0,1034266.340414535
1,1023213.6961440124
2,1018441.857286164
3,1019523.4392854194
4,1028674.6785919991
5,1024381.9004110418
6,1023047.251817816
7,1026437.884367032
8,1038165.027418727
9,1037207.7273098478
10,1040219.1523792301
11,1037362.7882689633
12,1039002.2869629943
13,1042418.7522169508
14,1041944.9698956332
15,1041961.729365768
16,1031316.2648209333
17,1038880.863464845
18,1039961.101715084
19,1035070.2958357206
20,1034792.1991810413
21,1033650.2518295328
22,1036366.5771164345
23,1031822.6724023117
24,1029434.6509022681
25,1025482.0768189852
26,1026703.6993518083
27,1037749.9513723835
28,1035944.6798913332
29,1028296.6955033126
30,1024326.1416814347
31,1029019.8059805321
32,1030242.1432316793
33,1043194.817507545
34,1038050.6886360934
35,1043312.9821197584
36,1044441.2276249852
37,1038797.2818302681
38,1039163.8045081722
39,1037706.1159399212
40,1021948.2265873974
41,1027008.2904309676
42,1031291.6710037412
43,1031729.1837631747
44,1031439.4905976417
45,1029371.9563121925
46,1026664.4452169808
47,1016057.5369975246
48,1017841.9161044911
49,1028751.2189946721
50,1040187.5214970834
51,1042888.6832680955
52,1043887.701041161
53,1050534.3321552274
54,1053377.0888851283
55,1050518.1631229485
56,1048712.7064575574
57,1041222.2919130521
58,1039970.0032112742
59,1028997.7088824254
60,1019781.413691152
61,1026240.0752008305
62,1027479.2750444465
