,0
0,1130642.68377137
1,1136992.757881656
2,1152234.2620015105
3,1125551.0254080463
4,1115944.3210465887
5,1116012.821061237
6,1096095.5800789895
7,1111887.1055989629
8,1097589.4058406802
9,1095957.583346076
10,1110471.3680804286
11,1110950.8297858706
12,1112393.3288734697
13,1109147.1779654399
14,1103319.1840223307
15,1081051.6062771522
16,1084370.0724026642
17,1067484.6480082774
18,1068838.234159891
19,1079581.0257359894
20,1096160.320502765
21,1093537.9443495052
22,1105410.4056090554
23,1105385.5198490473
24,1101165.182904485
25,1117694.2228283277
26,1108571.5103215342
27,1127149.3155903346
28,1130501.0046762703
29,1137718.3880530386
30,1147286.414748543
31,1139754.6978703572
32,1133836.3848068188
33,1134780.9816992572
34,1136408.3835970555
35,1125406.4061087172
36,1128941.56984594
37,1126812.6341953138
38,1130747.7833336461
39,1129191.5244841755
40,1106551.5482295977
41,1098581.071081712
42,1063780.0913886705
43,1068946.2913193193
44,1062741.4836988503
45,1077978.9905403387
46,1098932.947483197
47,1111137.867913131
48,1131378.2182613825
49,1127382.6230895768
50,1159800.6629042458
51,1170910.0169659914
52,1169543.3982441206
53,1157103.2613453744
54,1171839.0573737086
55,1188657.716769578
56,1183700.4863858516
57,1172731.31797127
58,1173100.8295268426
59,1165435.2571246622
60,1178340.0789503574
61,1196056.2244856253
62,1187941.7441883597
