,0
0,833263.2306908759
1,832572.5522353129
2,838204.6462686615
3,832274.3623407985
4,831374.7499786603
5,834532.5318934903
6,841100.5069027239
7,844906.8381101771
8,864231.0476230992
9,865803.0778795037
10,870425.6908714634
11,867633.4109801874
12,866299.561831772
13,861449.4793695568
14,853359.3233027244
15,849509.214278626
16,859343.2791121923
17,857181.9191596926
18,856984.365210714
19,852465.8553495908
20,855136.0498913615
21,855377.4722458064
22,855930.4338821316
23,855891.9526789208
24,852650.5041733019
25,856842.8792138643
26,846604.4654307221
27,843793.0844457806
28,832408.2579109783
29,835209.8192032719
30,838041.2524561383
31,846772.2968296456
32,850848.6786826488
33,839041.5285785524
34,820583.9289895666
35,819575.2515216271
36,812909.9353643411
37,813432.4078686576
38,818550.9171385079
39,817362.7303858418
40,829990.5460608732
41,835119.6246935385
42,836026.2502870271
43,834719.8139052774
44,840114.79017848
45,836743.4560293758
46,837178.5655154823
47,841027.6027999284
48,845649.8492980762
49,845591.6216631051
50,849210.50487554
51,853591.2969754599
52,854457.7795334856
53,851320.1955473634
54,852646.4167070372
55,855327.0459840829
56,857241.5612051515
57,859237.5498314576
58,859552.6084427806
59,863864.584644082
60,863760.0126111292
61,864248.6867713114
62,852301.490170802
