,0
0,962412.3806925921
1,963318.8625867825
2,962355.5437330911
3,962355.5437330911
4,961825.6535097313
5,946078.9190597312
6,948114.6243297312
7,941517.9101397312
8,949789.8802697313
9,969852.1398597313
10,986053.9480997314
11,990245.7402597313
12,999221.7002597313
13,1000171.2189097313
14,996681.8795897313
15,1008423.7759397312
16,996369.6258097313
17,970925.7955397313
18,967907.5124397313
19,987737.9228397312
20,986752.8219231211
21,982880.6152409712
22,963657.7240409711
23,969465.1065409711
24,981663.5822909711
25,989726.9627909714
26,994054.1338409713
27,992723.8737409713
28,989563.8170409711
29,977091.1076909712
30,973599.0115409712
31,967567.3116409712
32,955885.7591409112
33,954921.0278948612
34,954929.5278948612
35,954943.5278948612
36,954939.7778948612
37,954945.2778948612
38,954941.0278948612
39,954934.7778948612
40,954931.0278948612
41,954930.0278948612
42,954928.5278948612
43,954927.0278948612
44,954916.0278948612
45,954922.0278948612
46,954917.5278948612
47,954912.0278948612
48,954902.0278948612
49,983183.6094310215
50,978876.9537310216
51,970099.3500010215
52,969132.8626543714
53,969142.8626543714
54,989392.913409605
55,985886.6057104808
56,966550.4869704954
57,936480.0998704954
58,937615.4809405046
59,936677.8654850608
60,939711.039280261
61,914127.2069802609
62,897708.644930261
