,0
0,1056410.9513169937
1,1062235.6020070785
2,1062054.0302197214
3,1065202.4765385464
4,1066183.4369062951
5,1061566.866229167
6,1061841.2272777231
7,1068223.9286751298
8,1067566.1349136357
9,1063304.385819412
10,1076884.2615166008
11,1076952.1275523885
12,1061554.6376733393
13,1061498.0604535423
14,1072243.7033941601
15,1076071.1231299979
16,1074761.9100151295
17,1078179.6508180997
18,1077965.0924770785
19,1056575.6551001484
20,1053622.3147055956
21,1065888.3449339645
22,1059931.6937733768
23,1061099.9027310752
24,1030867.0847874868
25,1021868.3123303533
26,1004400.3260092988
27,989448.0670709178
28,1022701.0075551508
29,1020130.4796447947
30,1034869.1962459431
31,1029557.7988729535
32,1009848.6777230017
33,996176.066925847
34,992032.799106334
35,967476.0057310385
36,935764.1918219507
37,950875.6005411418
38,952563.5710613246
39,940795.036311427
40,945122.3591175954
41,967940.43333392
42,963455.1171355846
43,963397.4861949638
44,956880.9174903483
45,960648.5177684724
46,965910.4885098281
47,944908.2247950209
48,935185.710712094
49,940283.1647860681
50,942957.951293197
51,949908.5787838626
52,953019.4179046983
53,959508.982426508
54,969684.327772626
55,965945.3212596823
56,967526.2116240612
57,973047.1930813042
58,971103.9232232932
59,962181.7786083204
60,953967.2740016108
61,950627.702326175
62,958973.0606073185
