,0
0,1103826.848179686
1,1096103.7703328899
2,1096442.6556245936
3,1097349.466848069
4,1100240.9899272618
5,1099069.8583662289
6,1096030.0851728024
7,1096459.1749921306
8,1089813.5674020075
9,1094255.2942235435
10,1100098.031845398
11,1101736.2110084684
12,1101736.2110084684
13,1098149.2596465207
14,1107717.6809430441
15,1096608.2041667772
16,1104046.9399682402
17,1104026.5893359168
18,1107274.8544400476
19,1102115.2631183325
20,1108284.7173822422
21,1103025.0295858446
22,1109299.3974847044
23,1112235.9842031363
24,1108744.5481505909
25,1118256.395103103
26,1123582.4237052288
27,1126426.3291280938
28,1145640.3663314057
29,1147323.3663305661
30,1150504.0565995495
31,1150776.7100661574
32,1140797.4227962592
33,1141055.1184066818
34,1126645.443987971
35,1131712.1534965152
36,1140266.2038794775
37,1138008.6350659162
38,1130053.4365536901
39,1127258.6057553173
40,1140280.4352713558
41,1157399.6040528768
42,1166052.050439841
43,1166630.6469196402
44,1167937.6956261816
45,1173030.2548966776
46,1171248.6839368707
47,1173565.005878368
48,1176828.9243961587
49,1178832.4633960824
50,1172520.5404227432
51,1181704.8890981819
52,1177662.2855107642
53,1168079.112798981
54,1136416.046607019
55,1117988.0345477716
56,1116870.0465164613
57,1116870.0465164613
58,1116870.0465164613
59,1116870.0465164613
60,1116870.0465164613
61,1116870.0465164613
62,1116870.0465164613
