,0
0,854145.6051782314
1,854971.5553729711
2,854135.1981701797
3,859078.5542210925
4,851238.55137612
5,850227.8686183101
6,849854.284422168
7,848901.380370258
8,848220.6931379762
9,849005.9764095137
10,840797.5119674382
11,855287.3437577047
12,845490.2045106512
13,839843.1208687519
14,842642.9847640184
15,835185.7750129427
16,846647.02235951
17,842245.1503305829
18,844289.1028394644
19,831387.4896153074
20,831000.1880593569
21,832011.8529920247
22,837474.4329193857
23,836095.9030657157
24,833049.0917387224
25,837103.7448934211
26,839612.0819909987
27,838248.4014069358
28,836991.7660097671
29,833628.1433261078
30,837935.3165444171
31,830859.3201614039
32,826246.8403326265
33,830614.3796529243
34,836978.7831407005
35,833977.3067004074
36,831934.8359611704
37,832908.6853753199
38,828334.361896621
39,830527.4880918564
40,830159.6934784938
41,829621.901716141
42,818949.0537448693
43,825243.3536414057
44,833424.2203385561
45,833266.5270329259
46,822304.4297391409
47,815134.0561383623
48,821942.7435510182
49,823316.7286260715
50,835312.1576884598
51,832017.919974093
52,822758.3057871293
53,828540.2299713407
54,826188.7704689553
55,819706.8482731327
56,815603.086781106
57,823453.5582439133
58,827591.6086292325
59,825564.3803130259
60,825337.6790722456
61,829513.9202321925
62,830024.9324307746
