,0
0,1022532.1203180548
1,1022519.9752185475
2,1025290.4210499472
3,1022445.0614252271
4,1028928.1112032736
5,1036459.4691081491
6,1025473.0924809326
7,1032641.8201885856
8,1040133.8238318753
9,1035629.4030795419
10,1037198.7007748168
11,1036428.6025297447
12,1037204.4853916453
13,1042498.1835717513
14,1046894.7595771251
15,1042574.467466039
16,1040061.789041548
17,1041198.0794752362
18,1037733.0689820849
19,1031543.0031280284
20,1037695.6972032437
21,1043918.6373240752
22,1039968.5140192232
23,1048671.6310906939
24,1043717.7585610969
25,1046876.2851329055
26,1046470.46612459
27,1043760.5946877701
28,1044606.7228176398
29,1047700.1986071058
30,1050640.2314375346
31,1050180.8985360092
32,1051723.152296724
33,1051444.05113702
34,1046649.118016494
35,1047404.2240461683
36,1044261.3957465808
37,1058248.2780900083
38,1063299.8252512375
39,1063518.7777484702
40,1061180.411359964
41,1063075.3196916254
42,1061934.7111350724
43,1053373.3954913674
44,1047492.8172010242
45,1043272.1950501408
46,1046752.534277913
47,1030590.8919122112
48,1023556.3461885122
49,1023766.893316769
50,1015402.9600448929
51,1011379.6835552978
52,1005931.2545806075
53,1002999.3252855391
54,997682.9617395576
55,1002389.7604310778
56,989375.75347008
57,988879.3419402778
58,976604.0738107394
59,980563.6760391676
60,970006.5817942838
61,982065.5261917693
62,965580.65086517
