,0
0,876476.0313284002
1,873179.0455961047
2,883173.8028381619
3,885087.1042222687
4,883372.8881282638
5,890264.1695682846
6,893991.5462248459
7,897290.6028533403
8,902378.5700276475
9,897327.942064836
10,900040.107630689
11,897727.5722610825
12,894645.1716192566
13,890862.0023690534
14,892476.7969259209
15,892756.523854155
16,909322.9575578662
17,906945.1135077552
18,907373.3968488012
19,904085.5529293861
20,910042.145768275
21,902761.9316400499
22,916536.8229557328
23,915088.5427707114
24,914853.814853674
25,914860.1168697022
26,918517.0608452875
27,922488.6481415204
28,931350.7036899639
29,935291.1772449814
30,928608.5426432773
31,924376.2259341384
32,936833.846094529
33,929266.4121889939
34,941609.6546890025
35,936208.6532694192
36,932991.8175316188
37,915269.7149105102
38,899754.2432091307
39,916436.3685962255
40,910167.9472928994
41,895025.3804287213
42,903942.751666772
43,883368.3410418307
44,869962.7211980548
45,858191.473038654
46,863265.6763176972
47,847448.8740127623
48,848058.2704858122
49,859856.5706352898
50,872264.573196106
51,871659.8551747473
52,873398.3202063451
53,887577.7432878359
54,890771.9711043354
55,884149.7324281835
56,890718.451996567
57,902688.9571123078
58,909093.265516046
59,975629.7355634852
60,991592.1782438974
61,971001.9833041951
62,978473.9074153209
