,0
0,1126363.3622097855
1,1120251.0664366754
2,1119130.8086229195
3,1119130.8029229194
4,1102670.4669824697
5,1101580.8440592086
6,1050822.1300818562
7,1072858.8563658283
8,1063267.4732777162
9,1081609.566463297
10,1080527.8569387526
11,1080527.8689387527
12,1080527.8754387526
13,1080527.8637387527
14,1080527.8562387526
15,1066099.1051876824
16,1075465.8509793887
17,1065744.937530401
18,1070222.775274469
19,1069907.208236396
20,1066893.3774463949
21,1072176.8558366206
22,1072109.8557865717
23,1087052.2227673943
24,1078213.793815553
25,1084583.0325608498
26,1082140.957225975
27,1081058.814212428
28,1081058.8199124278
29,1088210.2932908766
30,1097753.375802608
31,1092174.657138367
32,1092546.1697812716
33,1093990.8669682816
34,1089698.0194445534
35,1091805.940956612
36,1083371.191447997
37,1077792.0894473111
38,1092644.2059763488
39,1085947.885906839
40,1089414.4298164698
41,1076802.3821468875
42,1065274.7600373097
43,1084167.8500499115
44,1088951.7412966823
45,1089371.8164796215
46,1087838.5072468144
47,1088324.297847838
48,1092056.644164192
49,1102919.7602410752
50,1125326.4090558614
51,1128194.983321778
52,1126374.7458561882
53,1129378.664571704
54,1119943.7943818634
55,1125483.1699962995
56,1122122.5501537886
57,1122280.234645223
58,1130046.8501796362
59,1136272.687290599
60,1138844.706654517
61,1140189.4377709618
62,1125729.9143663272
