,0
0,1640962.4494905723
1,1619110.2850356367
2,1619840.387947487
3,1623548.7597595968
4,1625698.2254179313
5,1616263.0350747595
6,1621106.1609907392
7,1629734.750315617
8,1620007.6982971136
9,1607673.562441555
10,1607259.461803751
11,1622247.5963719916
12,1610243.8522748805
13,1620222.503640612
14,1620357.7751236565
15,1615069.5459187094
16,1612284.242070152
17,1618758.3669016338
18,1616355.4199739764
19,1615091.7875434114
20,1601077.3702391456
21,1604471.394552404
22,1599539.6342536802
23,1598232.4381713816
24,1600940.1975499196
25,1601795.3620588006
26,1600487.8197716926
27,1600276.6699561914
28,1600467.1932957214
29,1599472.9373261316
30,1610708.6362951694
31,1627722.2857468198
32,1633449.863258221
33,1636241.1865749136
34,1646945.200243336
35,1650660.0284924833
36,1646687.5353453886
37,1643628.0864329443
38,1644398.3864817151
39,1644607.2500729086
40,1651885.603419411
41,1645925.3345058092
42,1651266.5883654489
43,1643942.970376814
44,1641623.723685043
45,1643030.5642482694
46,1654718.5219077352
47,1647625.9267462578
48,1655179.1289155898
49,1673740.2849453655
50,1677182.9170770945
51,1688225.5793669454
52,1687140.086121034
53,1695178.360870567
54,1698771.7933086897
55,1694963.4751012968
56,1700580.0797203751
57,1701442.4268442264
58,1690982.0985462342
59,1697420.1389572972
60,1692946.4183388285
61,1686341.010073145
62,1690664.9430454143
