,0
0,1688173.6167594153
1,1707375.1413550272
2,1706748.6644743963
3,1729759.5825434509
4,1730583.7372142451
5,1732211.1036161731
6,1731773.4461825476
7,1730316.4211424917
8,1729725.363414627
9,1726276.7914504334
10,1720127.0499184567
11,1743498.6940460105
12,1738804.9072274643
13,1733427.4525365958
14,1738683.7328072616
15,1738602.0383210788
16,1730529.589247529
17,1729785.2759636485
18,1722351.8743333158
19,1725127.0062584016
20,1718152.2013809173
21,1713737.2550478212
22,1712213.646154617
23,1703569.1827168858
24,1697798.1776178365
25,1691132.377629212
26,1690375.4721843007
27,1696444.9376797718
28,1704311.3716249736
29,1705296.9801178388
30,1704695.8742796318
31,1691988.7686203436
32,1702741.7377586379
33,1685671.528823581
34,1693710.6284933353
35,1691349.1181432775
36,1687315.2326097488
37,1667721.4473556909
38,1659934.959827261
39,1658920.7225472976
40,1667964.103317389
41,1656157.457838781
42,1666834.8749948656
43,1651633.380226173
44,1633645.7575982707
45,1620480.7955466548
46,1632453.529420956
47,1631181.3335518762
48,1624079.5122476595
49,1633978.4925675332
50,1641346.6373571344
51,1659242.7152226015
52,1654987.3370412127
53,1665196.9580762307
54,1666998.848871227
55,1660512.455653965
56,1675858.9314477937
57,1677331.039065325
58,1683923.3720845333
59,1695360.6371195996
60,1687013.977563464
61,1685556.0981310355
62,1683247.0868510972
