,0
0,-4085.382531329058
1,-570.1257877373137
2,6209.4589159300085
3,379.34371518692933
4,1860.368283077376
5,7041.534341966733
6,4326.445215566549
7,-856.5426042163745
8,-4510.560453465208
9,3417.9582479982637
10,12781.105155454483
11,-868.9926521647722
12,-10178.659797962755
13,1801.370347008342
14,2314.630944190314
15,3369.8434185932856
16,-5310.377738620387
17,-1045.7154725799337
18,-204.80326852900907
19,4046.734993412392
20,-90.52764077112079
21,-10105.371136085596
22,-13357.69603071548
23,-2674.711906064069
24,-6977.502263477538
25,-8994.18453404447
26,-5041.952807990834
27,-17585.46215648274
28,5958.979550938355
29,21330.964102552505
30,-530.0282276254147
31,8218.20279353112
32,-3472.9194480779115
33,-6460.467985211639
34,558.7746177027002
35,-2858.1669731764123
36,1597.3960498694796
37,-2550.3849583957344
38,928.3543899653014
39,4321.300986954244
40,-12739.508302686037
41,-24574.059560992057
42,-1267.4684280450456
43,22546.945280198008
44,-2250.339218281908
45,2010.6506707519293
46,-1301.6249775998294
47,-13362.823592631612
48,16888.535030102823
49,16902.492896664888
50,6741.6019890424795
51,8115.196644746233
52,5084.7970026794355
53,10941.01456248411
54,11345.995435217395
55,5539.541679471033
56,-20239.768576053903
57,6456.390873715514
58,-1932.8329547070898
59,-11397.038152227877
60,4311.709019882837
61,20111.13435964007
