,0
0,2586.892196290428
1,7376.289186270442
2,-3593.7746943898965
3,1241.3031003219076
4,-6117.813724217936
5,5466.651515747188
6,6099.936426548054
7,-2287.1175085103605
8,3890.3256753785536
9,3797.5696524605155
10,1186.3025524972472
11,-14589.20231372607
12,3875.1306271753274
13,-284.39178744726814
14,-1607.971585784806
15,-2579.9943165406585
16,-11802.021908399882
17,-4912.148109253263
18,-556.9665249725804
19,178.10358114144765
20,1443.1007990408689
21,-9732.42777535948
22,12662.662870471133
23,16062.73934002011
24,-1343.9785608060192
25,-8067.83329477231
26,-4817.583610831061
27,5953.6354280016385
28,10564.92787769693
29,14032.337469949154
30,-183.25799602642655
31,8603.19836649415
32,11439.832762864185
33,4877.405096162111
34,2250.5872334246524
35,-4892.887825950747
36,-205.90171466278844
37,10095.623393297428
38,-3338.4051307153422
39,-758.0918434439227
40,6576.506881506648
41,-6411.103768121451
42,8580.207724869717
43,2022.8899250333197
44,-5239.426151801832
45,8173.453641418135
46,399.9546858591493
47,6117.443973461166
48,5684.873213488609
49,-9543.408181454055
50,-1031.079281174112
51,-3127.2831729422323
52,9020.29739132477
53,2895.35630766931
54,-7326.166652077576
55,-11075.701946540037
56,-244.24127544928342
57,9000.583971685264
58,-23733.46384989028
59,-10738.912877266062
60,-953.8937547537498
61,5984.460594809847
