,0
0,1381318.8311403156
1,1412010.267532643
2,1415373.7969193887
3,1413445.8661046922
4,1430423.1898281903
5,1422173.2606050586
6,1433377.467422365
7,1437108.310281814
8,1432854.810493611
9,1411063.6909712222
10,1407755.3408477206
11,1393227.308395566
12,1404398.3040361924
13,1415679.320352446
14,1412892.9570141304
15,1400825.818723231
16,1388904.8054937643
17,1404552.2398258513
18,1416128.6596250997
19,1408526.208546754
20,1384630.3739877297
21,1395229.7312117014
22,1394412.7951686403
23,1385336.4071466597
24,1365503.5093427985
25,1372309.5239741672
26,1390454.9709805213
27,1376168.8157620723
28,1367355.9354935344
29,1376274.2932905646
30,1371883.9642249257
31,1374360.782676588
32,1385433.9087842966
33,1373507.2522783026
34,1384570.4043089505
35,1395882.679292568
36,1397948.0412217216
37,1410484.0360767029
38,1407609.5598764413
39,1409896.6800407213
40,1404250.477317634
41,1397591.3121983851
42,1384791.6443255933
43,1383766.0954968943
44,1368425.2887058628
45,1358030.6034643757
46,1364533.5083954511
47,1354015.5863636148
48,1341675.0815024544
49,1349324.1481400894
50,1343337.400754606
51,1339447.4454573642
52,1334355.3657295918
53,1341204.8011760958
54,1334968.7174768404
55,1321900.3444900338
56,1326952.369381054
57,1326048.9754360311
58,1323398.3092559557
59,1326832.8250052456
60,1309153.8097478058
61,1300121.0266163533
62,1294929.728630841
