,0
0,-5615.989772344939
1,-8395.482027742779
2,-2203.354123532772
3,528.3105440102518
4,16349.929784554057
5,-10086.471865929198
6,1250.67231352604
7,3279.2049210439436
8,6457.379008674063
9,-510.2033468382433
10,-10317.721650798107
11,-7406.497886833968
12,3269.758224881487
13,8319.879058329156
14,11006.143857335905
15,-5599.781281958101
16,-8910.957010728773
17,-13794.965511974413
18,-7213.692876446759
19,4406.019049223047
20,-7891.447356250603
21,18876.791633174755
22,1325.1819944679737
23,20283.042901610257
24,4302.48193592485
25,-3628.9425166961737
26,862.3482601072174
27,105.67074427939951
28,8180.139214804629
29,-5747.203774904832
30,576.89350455557
31,-16925.30973134446
32,2339.931063207565
33,1167.2179387591314
34,-3182.516081054695
35,-1140.0544846535195
36,8556.895161919529
37,9843.087263018824
38,7654.469605137128
39,-1551.9009698282462
40,10439.729190754006
41,1293.6338929906487
42,-1546.6531733626034
43,2504.607026376063
44,-3236.17615065258
45,5728.81708972319
46,-500.41518997820094
47,-12492.453219870804
48,-10796.681949555175
49,-4176.633737427881
50,3343.7603536597453
51,-8218.504872021265
52,6448.8188944866415
53,1219.142953041941
54,921.3189340503886
55,14832.115805014735
56,-4967.777950340882
57,8513.341979029588
58,4345.519730190281
59,6877.411705470411
60,8594.723741462687
61,1422.2763835703954
