,0
0,1373778.2253562468
1,1378452.1194244307
2,1387136.3070656925
3,1385191.7574616498
4,1362895.2484288432
5,1370306.8462121675
6,1377996.1039943455
7,1367712.9256518835
8,1369565.6359636397
9,1388809.6531334827
10,1403391.0017824138
11,1407460.933950831
12,1403379.8593888206
13,1425516.0218685227
14,1441241.7703651309
15,1437054.0879235219
16,1428811.3588907423
17,1434461.744883277
18,1441113.4837452692
19,1438825.6851112598
20,1458924.28739454
21,1472817.7007266793
22,1460593.7470958692
23,1449950.077107719
24,1456535.462498136
25,1449687.2568034413
26,1462647.2400892477
27,1450403.5860065059
28,1438532.5673273634
29,1441719.3617105333
30,1427985.1615228727
31,1427986.8371284325
32,1433900.1462633694
33,1411269.7655292293
34,1408320.3992827074
35,1426765.341748598
36,1445773.4790790896
37,1458125.0907905027
38,1460193.4386058517
39,1451090.515968126
40,1465365.9318740994
41,1463307.174666173
42,1473143.5398260562
43,1479286.7376183707
44,1482547.2799413577
45,1458219.6947544506
46,1465876.2474376385
47,1455250.818635607
48,1458090.0208641207
49,1473004.306469899
50,1475410.304770982
51,1470976.3580897395
52,1464763.8356365333
53,1467853.8122352916
54,1455548.9208468255
55,1464662.0319942283
56,1443059.906374128
57,1452860.0199802585
58,1453267.4477972416
59,1461272.501739678
60,1465859.8397795975
61,1486042.059074231
62,1500623.6008989534
